Date,country,avgtemp_c,maxtemp_c,mintemp_c,totalprecip_mm,avghumidity,maxwind_kph
2015-04-30,india,29.6,32.7,26.6,0.0,75.0,12.6
2015-04-30,mexico,29.2,33.1,25.8,0.0,63.0,14.0
2015-05-01,india,29.6,32.7,25.4,0.0,77.0,13.3
2015-05-01,mexico,28.6,32.6,24.2,0.1,65.0,13.0
2015-05-02,india,29.6,34.0,25.8,0.0,75.0,13.0
2015-05-02,mexico,29.0,32.5,24.9,0.0,65.0,13.0
2015-05-03,india,29.6,32.9,26.3,0.0,73.0,14.0
2015-05-03,mexico,29.5,33.1,26.5,0.0,66.0,10.4
2015-05-04,india,29.6,33.5,24.9,0.0,69.0,15.1
2015-05-04,mexico,28.7,32.8,25.0,0.7,66.0,11.0
2015-05-05,india,29.9,33.7,25.9,0.2,70.0,12.2
2015-05-05,mexico,28.9,33.0,24.9,0.0,65.0,13.1
2015-05-06,india,30.5,34.2,26.7,0.3,66.0,17.3
2015-05-06,mexico,29.3,33.6,25.6,0.0,66.0,14.2
2015-05-07,india,30.2,33.8,25.7,0.3,70.0,16.2
2015-05-07,mexico,29.4,33.7,25.2,0.0,62.0,14.5
2015-05-08,india,30.6,34.3,28.1,0.4,68.0,19.8
2015-05-08,mexico,29.7,34.2,25.8,0.0,60.0,14.0
2015-05-09,india,30.5,34.8,27.3,0.0,68.0,19.4
2015-05-09,mexico,29.6,34.1,26.2,0.0,65.0,12.2
2015-05-10,india,30.6,35.2,26.4,0.3,66.0,19.4
2015-05-10,mexico,29.4,33.6,25.8,0.0,65.0,13.3
2015-05-11,india,30.6,35.3,26.9,0.2,66.0,18.7
2015-05-11,mexico,30.0,34.3,26.0,0.0,63.0,11.4
2015-05-12,india,30.7,33.8,27.6,0.2,72.0,18.7
2015-05-12,mexico,30.0,34.5,26.4,0.0,64.0,13.0
2015-05-13,india,30.2,32.9,27.6,0.8,72.0,12.2
2015-05-13,mexico,30.4,34.5,26.8,2.7,62.0,13.3
2015-05-14,india,29.6,32.5,27.9,4.5,71.0,15.0
2015-05-14,mexico,29.9,33.6,25.1,0.4,58.0,12.2
2015-05-15,india,31.0,34.4,28.5,1.8,70.0,13.6
2015-05-15,mexico,29.5,33.8,26.0,0.1,59.0,12.2
2015-05-16,india,30.9,35.0,27.5,6.8,73.0,14.7
2015-05-16,mexico,28.8,33.7,24.3,0.0,62.0,13.3
2015-05-17,india,31.0,33.9,28.7,0.5,72.0,14.8
2015-05-17,mexico,29.1,33.7,25.6,0.0,65.0,13.3
2015-05-18,india,30.6,33.5,27.3,0.0,75.0,14.4
2015-05-18,mexico,29.0,33.3,25.7,1.1,66.0,12.2
2015-05-19,india,30.0,32.6,27.5,0.0,75.0,13.7
2015-05-19,mexico,29.0,33.5,25.5,0.0,65.0,13.4
2015-05-20,india,30.1,32.9,27.0,0.0,73.0,14.4
2015-05-20,mexico,29.1,33.6,25.6,2.1,63.0,13.7
2015-05-21,india,30.1,32.3,27.5,0.0,74.0,13.7
2015-05-21,mexico,29.4,32.9,27.0,0.5,67.0,15.1
2015-05-22,india,30.5,33.0,27.3,0.0,77.0,14.4
2015-05-22,mexico,29.9,34.3,26.4,3.4,60.0,13.0
2015-05-23,india,30.3,33.0,27.8,0.3,75.0,12.6
2015-05-23,mexico,28.5,32.0,25.5,10.1,59.0,11.9
2015-05-24,india,30.7,33.2,27.8,0.1,73.0,13.3
2015-05-24,mexico,29.1,32.8,26.1,0.5,61.0,12.2
2015-05-25,india,30.5,34.3,27.9,0.0,75.0,14.8
2015-05-25,mexico,29.5,33.8,25.6,3.3,61.0,10.8
2015-05-26,india,30.4,33.0,27.7,0.0,74.0,14.8
2015-05-26,mexico,28.5,33.0,24.9,3.8,67.0,11.9
2015-05-27,india,30.2,32.9,26.7,0.0,73.0,17.3
2015-05-27,mexico,28.3,33.0,24.4,1.8,67.0,11.9
2015-05-28,india,30.6,33.0,27.3,0.0,75.0,16.6
2015-05-28,mexico,28.4,31.8,24.9,0.8,66.0,11.9
2015-05-29,india,30.1,32.5,27.9,0.0,75.0,18.4
2015-05-29,mexico,27.5,30.8,23.0,0.4,69.0,11.8
2015-05-30,india,29.9,33.0,27.4,0.0,79.0,14.4
2015-05-30,mexico,27.5,31.0,24.4,2.0,72.0,9.4
2015-05-31,india,30.1,33.3,26.9,0.2,79.0,12.8
2015-05-31,mexico,27.7,32.3,23.0,0.2,70.0,11.2
2015-06-01,india,29.5,31.5,27.2,0.0,75.0,10.4
2015-06-01,mexico,28.0,33.0,23.3,0.0,69.0,11.5
2015-06-02,india,30.2,32.9,27.1,0.0,71.0,9.7
2015-06-02,mexico,28.5,33.2,24.3,0.0,70.0,11.0
2015-06-03,india,30.2,33.3,26.4,0.2,70.0,10.1
2015-06-03,mexico,28.5,32.9,24.5,2.3,71.0,12.2
2015-06-04,india,30.2,33.7,27.1,1.0,71.0,15.1
2015-06-04,mexico,28.4,32.9,24.7,4.0,70.0,15.0
2015-06-05,india,28.9,31.3,27.3,11.2,74.0,10.4
2015-06-05,mexico,27.4,30.3,24.8,20.7,72.0,11.3
2015-06-06,india,30.0,33.2,27.0,3.2,69.0,13.9
2015-06-06,mexico,28.2,31.7,24.9,8.6,66.0,11.6
2015-06-07,india,30.1,33.3,28.0,3.1,69.0,27.2
2015-06-07,mexico,27.9,31.5,24.4,0.7,70.0,10.4
2015-06-08,india,29.0,32.1,27.0,11.0,70.0,22.7
2015-06-08,mexico,26.0,30.2,23.3,11.7,76.0,11.6
2015-06-09,india,28.4,31.3,26.5,7.0,73.0,19.4
2015-06-09,mexico,26.0,29.6,22.6,23.4,79.0,14.8
2015-06-10,india,29.0,31.1,26.6,4.3,75.0,17.4
2015-06-10,mexico,26.7,30.2,23.6,0.2,76.0,15.6
2015-06-11,india,29.0,31.6,27.0,17.5,74.0,16.2
2015-06-11,mexico,25.7,27.7,24.7,33.7,81.0,14.8
2015-06-12,india,28.3,30.6,26.7,16.4,72.0,9.0
2015-06-12,mexico,26.0,29.8,23.1,35.0,77.0,7.6
2015-06-13,india,27.2,28.8,26.1,32.1,79.0,16.0
2015-06-13,mexico,26.2,30.2,22.6,24.3,72.0,11.5
2015-06-14,india,26.1,27.4,24.8,65.3,86.0,13.9
2015-06-14,mexico,27.6,32.0,24.2,1.1,67.0,9.4
2015-06-15,india,26.8,28.6,24.7,17.3,81.0,12.2
2015-06-15,mexico,28.5,32.4,25.6,0.0,69.0,13.0
2015-06-16,india,26.9,29.3,25.2,25.8,83.0,13.8
2015-06-16,mexico,27.9,32.4,24.0,0.0,72.0,9.0
2015-06-17,india,26.4,28.7,24.9,45.62,84.0,20.3
2015-06-17,mexico,27.2,30.9,24.1,0.4,74.0,7.9
2015-06-18,india,25.7,26.0,25.3,64.0,91.0,17.2
2015-06-18,mexico,28.5,32.7,24.8,1.2,60.0,14.0
2015-06-19,india,26.2,26.8,25.6,38.2,90.0,22.7
2015-06-19,mexico,29.2,33.7,25.7,0.6,63.0,11.5
2015-06-20,india,26.3,26.5,26.1,44.14,90.0,27.2
2015-06-20,mexico,28.6,33.0,24.9,0.0,63.0,11.8
2015-06-21,india,26.5,26.9,26.1,46.1,89.0,28.3
2015-06-21,mexico,29.2,34.2,24.8,0.0,65.0,9.7
2015-06-22,india,27.4,28.8,26.0,11.7,88.0,28.2
2015-06-22,mexico,29.3,34.3,25.2,0.0,60.0,12.8
2015-06-23,india,26.6,27.7,26.2,48.2,90.0,34.0
2015-06-23,mexico,28.8,34.1,24.3,0.0,61.0,13.1
2015-06-24,india,26.8,27.6,25.9,23.4,91.0,31.4
2015-06-24,mexico,29.1,33.2,23.8,0.0,58.0,13.0
2015-06-25,india,27.3,28.7,25.8,10.1,91.0,24.5
2015-06-25,mexico,29.5,33.5,24.7,0.0,62.0,13.0
2015-06-26,india,27.1,28.7,25.8,5.9,89.0,22.3
2015-06-26,mexico,30.1,34.7,25.0,0.0,60.0,12.5
2015-06-27,india,27.5,29.6,25.8,7.0,89.0,18.0
2015-06-27,mexico,29.7,34.0,25.6,2.9,58.0,11.5
2015-06-28,india,27.5,29.5,25.8,5.4,89.0,15.8
2015-06-28,mexico,28.9,33.2,25.3,0.0,63.0,11.0
2015-06-29,india,27.3,30.8,25.6,3.2,87.0,13.3
2015-06-29,mexico,28.7,32.5,24.8,1.1,65.0,11.2
2015-06-30,india,26.6,28.1,25.0,2.7,84.0,9.0
2015-06-30,mexico,28.7,33.7,23.7,0.0,67.0,11.9
2015-07-01,india,26.7,29.0,24.8,4.2,85.0,12.2
2015-07-01,mexico,28.7,33.1,24.6,5.1,67.0,11.9
2015-07-02,india,27.3,29.7,25.7,2.4,85.0,10.6
2015-07-02,mexico,29.2,33.5,25.7,0.0,64.0,13.0
2015-07-03,india,27.6,29.7,25.9,2.9,86.0,15.1
2015-07-03,mexico,29.3,33.9,24.2,0.0,63.0,12.8
2015-07-04,india,27.4,30.5,25.3,4.7,88.0,13.3
2015-07-04,mexico,28.7,33.8,25.1,0.0,63.0,12.2
2015-07-05,india,27.7,30.0,26.2,4.7,87.0,14.4
2015-07-05,mexico,29.3,34.1,25.7,0.0,62.0,12.4
2015-07-06,india,27.6,29.2,26.2,6.7,87.0,17.8
2015-07-06,mexico,28.9,33.6,24.5,0.0,65.0,10.7
2015-07-07,india,27.4,29.1,25.8,7.6,87.0,15.8
2015-07-07,mexico,27.9,31.8,23.5,0.0,64.0,11.9
2015-07-08,india,27.0,28.2,25.9,7.9,88.0,16.2
2015-07-08,mexico,28.2,32.6,24.2,0.0,58.0,10.7
2015-07-09,india,26.7,28.5,25.7,10.3,88.0,15.7
2015-07-09,mexico,27.3,30.9,24.5,4.3,62.0,13.0
2015-07-10,india,27.0,28.9,25.6,7.1,89.0,18.7
2015-07-10,mexico,26.2,29.4,23.7,6.8,72.0,8.6
2015-07-11,india,27.3,28.7,25.5,8.1,88.0,19.4
2015-07-11,mexico,26.3,29.8,23.0,7.3,72.0,7.9
2015-07-12,india,27.3,29.3,25.7,6.4,86.0,16.2
2015-07-12,mexico,28.0,32.8,23.5,0.0,62.0,10.4
2015-07-13,india,27.2,29.6,25.4,3.7,87.0,10.4
2015-07-13,mexico,27.7,31.6,23.2,0.0,64.0,11.5
2015-07-14,india,27.7,30.2,25.1,3.5,85.0,12.6
2015-07-14,mexico,27.2,31.8,22.9,0.0,67.0,11.5
2015-07-15,india,27.5,29.5,26.0,4.1,83.0,16.2
2015-07-15,mexico,27.3,32.4,22.9,0.0,71.0,12.2
2015-07-16,india,27.1,29.0,25.7,9.4,84.0,17.5
2015-07-16,mexico,27.9,32.6,22.5,2.8,66.0,13.7
2015-07-17,india,27.1,28.7,26.0,8.9,87.0,18.4
2015-07-17,mexico,28.4,32.5,24.3,0.7,61.0,9.7
2015-07-18,india,27.0,28.7,25.9,11.2,88.0,18.7
2015-07-18,mexico,27.3,31.9,24.0,2.9,67.0,11.2
2015-07-19,india,26.9,28.6,25.7,12.4,87.0,22.0
